Real,Imaginary
-6.05690,1.36031
-6.05703,1.36192
-6.05716,1.36354
-6.05729,1.36515
-6.05743,1.36676
-6.05756,1.36838
-6.05770,1.36999
-6.05783,1.37161
-6.05796,1.37322
-6.05810,1.37483
-6.05823,1.37645
-6.05837,1.37806
-6.05850,1.37968
-6.05864,1.38129
-6.05877,1.38291
-6.05891,1.38453
-6.05904,1.38614
-6.05918,1.38776
-6.05931,1.38937
-6.05945,1.39099
-6.05958,1.39261
-6.05972,1.39422
-6.05986,1.39584
-6.05999,1.39746
-6.06013,1.39908
-6.06027,1.40069
-6.06040,1.40231
-6.06054,1.40393
-6.06068,1.40555
-6.06081,1.40716
-6.06095,1.40878
-6.06109,1.41040
-6.06123,1.41202
-6.06137,1.41364
-6.06150,1.41526
-6.06164,1.41688
-6.06178,1.41850
-6.06192,1.42012
-6.06206,1.42174
-6.06220,1.42336
-6.06234,1.42498
-6.06248,1.42660
-6.06262,1.42822
-6.06276,1.42984
-6.06290,1.43146
-6.06304,1.43308
-6.06318,1.43471
-6.06332,1.43633
-6.06346,1.43795
-6.06360,1.43957
-6.06374,1.44120
-6.06388,1.44282
-6.06402,1.44444
-6.06416,1.44606
-6.06430,1.44769
-6.06445,1.44931
-6.06459,1.45093
-6.06473,1.45256
-6.06487,1.45418
-6.06501,1.45581
-6.06516,1.45743
-6.06530,1.45906
-6.06544,1.46068
-6.06559,1.46231
-6.06573,1.46393
-6.06587,1.46556
-6.06602,1.46718
-6.06616,1.46881
-6.06630,1.47043
-6.06645,1.47206
-6.06659,1.47369
-6.06674,1.47531
-6.06688,1.47694
-6.06703,1.47857
-6.06717,1.48019
-6.06732,1.48182
-6.06746,1.48345
-6.06761,1.48508
-6.06775,1.48671
-6.06790,1.48833
-6.06804,1.48996
-6.06819,1.49159
-6.06834,1.49322
-6.06848,1.49485
-6.06863,1.49648
-6.06877,1.49811
-6.06892,1.49974
-6.06907,1.50137
-6.06922,1.50300
-6.06936,1.50463
-6.06951,1.50626
-6.06966,1.50789
-6.06981,1.50952
-6.06995,1.51115
-6.07010,1.51278
-6.07025,1.51441
-6.07040,1.51605
-6.07055,1.51768
-6.07070,1.51931
-6.07085,1.52094
-6.07100,1.52258
-6.07114,1.52421
-6.07129,1.52584
-6.07144,1.52748
-6.07159,1.52911
-6.07174,1.53074
-6.07189,1.53238
-6.07204,1.53401
-6.07219,1.53565
-6.07235,1.53728
-6.07250,1.53891
-6.07265,1.54055
-6.07280,1.54219
-6.07295,1.54382
-6.07310,1.54546
-6.07325,1.54709
-6.07341,1.54873
-6.07356,1.55036
-6.07371,1.55200
-6.07386,1.55364
-6.07401,1.55527
-6.07417,1.55691
-6.07432,1.55855
-6.07447,1.56019
-6.07463,1.56182
-6.07478,1.56346
-6.07493,1.56510
-6.07509,1.56674
-6.07524,1.56838
-6.07539,1.57002
-6.07555,1.57166
-6.07570,1.57330
-6.07586,1.57494
-6.07601,1.57657
-6.07617,1.57821
-6.07632,1.57985
-6.07648,1.58150
-6.07663,1.58314
-6.07679,1.58478
-6.07694,1.58642
-6.07710,1.58806
-6.07726,1.58970
-6.07741,1.59134
-6.07757,1.59298
-6.07773,1.59463
-6.07788,1.59627
-6.07804,1.59791
-6.07820,1.59955
-6.07835,1.60120
-6.07851,1.60284
-6.07867,1.60448
-6.07883,1.60613
-6.07898,1.60777
-6.07914,1.60942
-6.07930,1.61106
-6.07946,1.61271
-6.07962,1.61435
-6.07978,1.61600
-6.07994,1.61764
-6.08010,1.61929
-6.08025,1.62093
-6.08041,1.62258
-6.08057,1.62422
-6.08073,1.62587
-6.08089,1.62752
-6.08105,1.62916
-6.08121,1.63081
-6.08137,1.63246
-6.08153,1.63411
-6.08170,1.63575
-6.08186,1.63740
-6.08202,1.63905
-6.08218,1.64070
-6.08234,1.64235
-6.08250,1.64400
-6.08266,1.64565
-6.08283,1.64730
-6.08299,1.64895
-6.08315,1.65060
-6.08331,1.65225
-6.08348,1.65390
-6.08364,1.65555
-6.08380,1.65720
-6.08397,1.65885
-6.08413,1.66050
-6.08429,1.66215
-6.08446,1.66380
-6.08462,1.66545
-6.08478,1.66711
-6.08495,1.66876
-6.08511,1.67041
-6.08528,1.67207
-6.08544,1.67372
-6.08561,1.67537
-6.08577,1.67703
-6.08594,1.67868
-6.08610,1.68033
-6.08627,1.68199
-6.08643,1.68364
-6.08660,1.68530
-6.08677,1.68695
-6.08693,1.68861
-6.08710,1.69026
-6.08727,1.69192
-6.08743,1.69357
-6.08760,1.69523
-6.08777,1.69689
-6.08793,1.69854
-6.08810,1.70020
-6.08827,1.70186
-6.08844,1.70352
-6.08860,1.70517
-6.08877,1.70683
-6.08894,1.70849
-6.08911,1.71015
-6.08928,1.71181
-6.08945,1.71346
-6.08962,1.71512
-6.08979,1.71678
-6.08996,1.71844
-6.09012,1.72010
-6.09029,1.72176
-6.09046,1.72342
-6.09063,1.72508
-6.09080,1.72674
-6.09098,1.72841
-6.09115,1.73007
-6.09132,1.73173
-6.09149,1.73339
-6.09166,1.73505
-6.09183,1.73671
-6.09200,1.73838
-6.09217,1.74004
-6.09234,1.74170
-6.09252,1.74337
-6.09269,1.74503
-6.09286,1.74669
-6.09303,1.74836
-6.09321,1.75002
-6.09338,1.75168
-6.09355,1.75335
-6.09373,1.75501
-6.09390,1.75668
-6.09407,1.75835
-6.09425,1.76001
-6.09442,1.76168
-6.09459,1.76334
-6.09477,1.76501
-6.09494,1.76668
-6.09512,1.76834
-6.09529,1.77001
-6.09547,1.77168
-6.09564,1.77335
-6.09582,1.77501
-6.09599,1.77668
-6.09617,1.77835
-6.09634,1.78002
-6.09652,1.78169
-6.09670,1.78336
-6.09687,1.78503
-6.09705,1.78670
-6.09723,1.78837
-6.09740,1.79004
-6.09758,1.79171
-6.09776,1.79338
-6.09793,1.79505
-6.09811,1.79672
-6.09829,1.79839
-6.09847,1.80006
-6.09865,1.80173
-6.09882,1.80341
-6.09900,1.80508
-6.09918,1.80675
-6.09936,1.80842
-6.09954,1.81010
-6.09972,1.81177
-6.09990,1.81344
-6.10008,1.81512
-6.10026,1.81679
-6.10044,1.81847
-6.10062,1.82014
-6.10080,1.82182
-6.10098,1.82349
-6.10116,1.82517
-6.10134,1.82684
-6.10152,1.82852
-6.10170,1.83020
-6.10188,1.83187
-6.10206,1.83355
-6.10224,1.83523
-6.10243,1.83690
-6.10261,1.83858
-6.10279,1.84026
-6.10297,1.84194
-6.10316,1.84362
-6.10334,1.84529
-6.10352,1.84697
-6.10370,1.84865
-6.10389,1.85033
-6.10407,1.85201
-6.10425,1.85369
-6.10444,1.85537
-6.10462,1.85705
-6.10481,1.85873
-6.10499,1.86041
-6.10517,1.86210
-6.10536,1.86378
-6.10554,1.86546
-6.10573,1.86714
-6.10591,1.86882
-6.10610,1.87051
-6.10628,1.87219
-6.10647,1.87387
-6.10666,1.87556
-6.10684,1.87724
-6.10703,1.87892
-6.10721,1.88061
-6.10740,1.88229
-6.10759,1.88398
-6.10777,1.88566
-6.10796,1.88735
-6.10815,1.88903
-6.10834,1.89072
-6.10852,1.89240
-6.10871,1.89409
-6.10890,1.89578
-6.10909,1.89746
-6.10928,1.89915
-6.10947,1.90084
-6.10965,1.90253
-6.10984,1.90421
-6.11003,1.90590
-6.11022,1.90759
-6.11041,1.90928
-6.11060,1.91097
-6.11079,1.91266
-6.11098,1.91435
-6.11117,1.91604
-6.11136,1.91773
-6.11155,1.91942
-6.11174,1.92111
-6.11193,1.92280
-6.11212,1.92449
-6.11231,1.92618
-6.11251,1.92787
-6.11270,1.92957
-6.11289,1.93126
-6.11308,1.93295
-6.11327,1.93464
-6.11347,1.93634
-6.11366,1.93803
-6.11385,1.93972
-6.11404,1.94142
-6.11424,1.94311
-6.11443,1.94481
-6.11462,1.94650
-6.11482,1.94820
-6.11501,1.94989
-6.11520,1.95159
-6.11540,1.95328
-6.11559,1.95498
-6.11579,1.95668
-6.11598,1.95837
-6.11618,1.96007
-6.11637,1.96177
-6.11657,1.96347
-6.11676,1.96516
-6.11696,1.96686
-6.11715,1.96856
-6.11735,1.97026
-6.11754,1.97196
-6.11774,1.97366
-6.11794,1.97536
-6.11813,1.97706
-6.11833,1.97876
-6.11853,1.98046
-6.11872,1.98216
-6.11892,1.98386
-6.11912,1.98556
-6.11932,1.98726
-6.11952,1.98896
-6.11971,1.99067
-6.11991,1.99237
-6.12011,1.99407
-6.12031,1.99578
-6.12051,1.99748
-6.12071,1.99918
-6.12091,2.00089
-6.12110,2.00259
-6.12130,2.00429
-6.12150,2.00600
-6.12170,2.00770
-6.12190,2.00941
-6.12210,2.01112
-6.12230,2.01282
-6.12251,2.01453
